PUERTO,OPERACIÓN,AÑO,TIPO_CARGA,TONELADAS,REGIÓN,LATITUD,LONGITUD
Caleta Coloso,Tránsito,2016,Sin tipificar,0,Antofagasta,"-23,76","-70,47"
Chañaral / Barquito,Tránsito,2016,Sin tipificar,0,Atacama,"-26,36","-70,65"
Caldera / Calderilla,Tránsito,2016,Sin tipificar,0,Atacama,"-27,05","-70,84"
Huasco / Guacolda,Tránsito,2016,Sin tipificar,0,Atacama,"-28,46","-71,25"
Coquimbo,Tránsito,2016,Sin tipificar,0,Coquimbo,"-29,95","-71,33"
Guayacán,Tránsito,2016,Sin tipificar,0,Coquimbo,"-29,97","-71,35"
Punta Chungo,Tránsito,2016,Sin tipificar,0,Coquimbo,"-31,89","-71,5"
Isla Juan Fernández,Tránsito,2016,Sin tipificar,0,Valparaíso,"-33,64","-78,82"
Isla de Pascua,Tránsito,2016,Sin tipificar,0,Valparaíso,"-27,15","-109,44"
Ventanas,Tránsito,2016,Sin tipificar,0,Valparaíso,"-32,75","-71,49"
Terminal OXIQUIM Quintero,Tránsito,2016,Sin tipificar,0,Valparaíso,"-32,76","-71,49"
Quintero,Tránsito,2016,Sin tipificar,0,Valparaíso,"-32,77","-71,5"
